id,sources_num,type,legitimacy,source_name,url,title,date,text,sources
1,3,fact_check,Unproven, Snopes.com,https://www.snopes.com/fact-check/karl-rove-empire/,"Did Karl Rove Say 'We're an Empire Now'? 
Many have assumed it was Rove who made the comment during the George W. Bush administration.",2021-12-12,"Karl Rove, adviser to U.S. President George W. Bush, made an iconic comment that included the phrase, ""We're an empire now.""","['Andersen, Kurt. “How the U.S. Lost Its Mind.” The Atlantic, 8 Aug. 2017, https://www.theatlantic.com/magazine/archive/2017/09/how-america-lost-its-mind/534231/.', 'Suskind, Ron. “Faith, Certainty and the Presidency of George W. Bush.” The New York Times, 17 Oct. 2004. NYTimes.com, https://www.nytimes.com/2004/10/17/magazine/faith-certainty-and-the-presidency-of-george-w-bush.html.', 'Schonfeld, Zach. “We Made Karl Rove Listen to The National, and He Wasn’t Impressed.” Newsweek, 8 Sept. 2017, https://www.newsweek.com/national-sleep-well-beast-karl-rove-662307.']"
2,3,fact_check,Correct Attribution, Snopes.com,https://www.snopes.com/fact-check/biden-bob-dole-end-of-message/,"Did Biden Read 'End of Message' During Bob Dole Tribute? 
Right-leaning critics of the president seized upon what appeared to be an unfortunate mistake during a speech in December 2021.",2021-12-10,"In a speech paying tribute to Bob Dole, in December 2021, President Joe Biden read aloud ""End of message.""","['“Opinion | Bob Dole: America Needs Unity to Rediscover Its Greatness.” Washington Post. www.washingtonpost.com, https://www.washingtonpost.com/opinions/2021/12/06/bob-dole-op-ed-what-america-needs/. Accessed 10 Dec. 2021.', '“Senate Leader, Presidential Candidate Bob Dole Dies at 98.” AP NEWS, 5 Dec. 2021, https://apnews.com/article/bob-dole-dead-kansas-republican-737084f4e606c10a33a15384fbe05967.', 'U.S. Senate: Robert J. Dole: A Featured Biography. https://www.senate.gov/senators/FeaturedBios/Featured_Bio_DoleRobertJ.htm. Accessed 10 Dec. 2021.']"
3,0,fact_check,, Snopes.com,https://www.snopes.com/fact-check/kennedy-bloody-shirt/,"Are Photos of John F. Kennedy's Bloody Shirt Real? 
The former president was assassinated on Nov. 22, 1963.",2021-12-08,,[]
4,4,fact_check,Correct Attribution, Snopes.com,https://www.snopes.com/fact-check/trump-innocent-fifth-amendment/,"Did Trump Say 'If You're Innocent, Why Are You Taking the 5th Amendment?' 
Trump has offered conflicting opinions of the Fifth Amendment over the years.",2021-12-08,"Former President Donald Trump said: ""If you're innocent, why are you taking the Fifth Amendment?""","['Sheth, Sonam. “Key Witness in Congress’ Capitol Riot Probe Says He Intends to Plead the 5th Amendment.” Business Insider, https://www.businessinsider.com/jeffrey-clark-january-6-committee-plead-5th-amendment-2021-12. Accessed 8 Dec. 2021.', '“‘If You’Re Innocent, Why Are You Taking the Fifth?’ Trump Said — Years after Invoking It Himself.” Washington Post. www.washingtonpost.com, https://www.washingtonpost.com/news/the-fix/wp/2017/05/23/if-youre-innocent-why-are-you-taking-the-fifth-trump-said-years-after-invoking-it-himself/. Accessed 8 Dec. 2021.', 'Trump and the Fifth Amendment: It’s Complicated. https://gulfnews.com/world/americas/trump-and-the-fifth-amendment-its-complicated-1.2031688. Accessed 8 Dec. 2021.', 'United States of America 1789 (Rev. 1992) Constitution – Constitute. https://www.constituteproject.org/constitution/United_States_of_America_1992?lang=en. Accessed 8 Dec. 2021.']"
5,2,fact_check,False, Snopes.com,https://www.snopes.com/fact-check/lets-go-brandon-pedophile-code/,"No, 'Let's Go Brandon' Is Not a Code Used by Pedophiles Online 
A widely-shared meme appeared to be a distasteful prank at the expense of right-leaning critics of President Joe Biden.",2021-12-07,"In 2021, the phrase ""Let's go Brandon"" was a code used by pedophiles to identify each other online.","[' ', '“‘Let’s Go Brandon’: A Collection of Stories.” Snopes.Com, https://www.snopes.com/collections/lets-go-brandon/. Accessed 7 Dec. 2021.']"
6,12,fact_check,False, Snopes.com,https://www.snopes.com/fact-check/patriot-front-rally-dc-fake/,"No, the 'Patriot Front' Far-Right Rally in DC Was Not Faked 
Right-wing politicians and commentators sought to play down a ""Patriot Front"" demonstration on the National Mall, in December 2021.",2021-12-06,"A Dec. 4, 2021, rally in Washington D.C. was staged or faked by federal agents or actors, rather than a real white nationalist group called Patriot Front.","['“19-Year-Old White Supremacist Cited for Hate-Speech Fliers Posted in Fort Worth.” Dallas News, 31 Oct. 2018, https://www.dallasnews.com/news/crime/2018/10/31/19-year-old-white-supremacist-cited-for-hate-speech-fliers-posted-in-fort-worth/.', '  “ANOTHER FALSE FLAG? A Group No One Has Ever Heard Of Marches In DC…Left Calls Them ‘Right-Wingers’…Conservatives Call Them A ‘False Flag.’” 100PercentFedUp.Com, 5 Dec. 2021, https://100percentfedup.com/another-false-flag-as-biden-and-harris-poll-numbers-plummet-a-group-no-one-has-ever-heard-of-marches-in-dc-left-calls-them-right-wingers-conservatives-call-them-a-false-flag/.', '  Attorney General James Takes Legal Action Against Conspiracy Theorists For Threatening Robocalls to Suppress Black Voters. https://ag.ny.gov/press-release/2021/attorney-general-james-takes-legal-action-against-conspiracy-theorists. Accessed 6 Dec. 2021.', '  Hoft, Jim. “FEDS ON PARADE: Dozens of Uhaul Trucks Picked Up Mysterious Patriot Protesters after Creepy March in DC — Another Democrat Stunt?” The Gateway Pundit, 5 Dec. 2021, https://www.thegatewaypundit.com/2021/12/feds-parade-dozens-uhaul-trucks-picked-mysterious-patriot-protesters-creepy-march-dc-another-democrat-stunt/.', '  “Nazis Go to School: How Texas Colleges Have Responded to the Hate Groups Behind All Those Racist Flyers.” The Texas Observer, 29 Jan. 2018, https://www.texasobserver.org/nazis-go-school-texas-colleges-responded-hate-groups-behind-racist-flyers/.', '  “Patriot Front.” Anti-Defamation League, https://www.adl.org/resources/backgrounders/patriot-front. Accessed 6 Dec. 2021.', '  “—.” Anti-Defamation League, https://www.adl.org/resources/backgrounders/patriot-front. Accessed 6 Dec. 2021.', '  Petrizzo, Blake Montgomery, Zachary. “White Supremacists Stage Bizarro Rally in Downtown D.C., Find Themselves Stranded.” The Daily Beast, 5 Dec. 2021. www.thedailybeast.com, https://www.thedailybeast.com/patriot-front-white-nationalists-stage-bizarro-rally-in-downtown-dc-find-themselves-stranded.', '  “Sen. Wendy Rogers Cues up the Crazy (Again) with Her Latest Call to Decertify the Election.” Arizona Republic, https://www.azcentral.com/story/opinion/op-ed/laurieroberts/2021/09/22/sen-wendy-rogers-cues-up-crazy-again-decertification-talk/5810505001/. Accessed 6 Dec. 2021.', '  “The Comically Flawed Attempt to Smear Robert Mueller, Explained.” Snopes.Com, https://www.snopes.com/news/2018/10/30/comically-flawed-attempt-smear-robert-mueller-explained/. Accessed 6 Dec. 2021.', '  Uniformed White Nationalist Group Marches at Lincoln Memorial – CNN Video. www.cnn.com, https://www.cnn.com/videos/us/2021/12/06/white-nationalists-march-lincoln-memorial-newday-jarrett-avlon-vpx.cnn. Accessed 6 Dec. 2021.', '  Zimmermann, Carol Schaeffer, Fritz. “They Are Racist; Some of Them Have Guns. Inside the White Supremacist Group Hiding in Plain Sight.” ProPublica, https://www.propublica.org/article/they-are-racist-some-of-them-have-guns-inside-the-white-supremacist-group-hiding-in-plain-sight?token=SstV5uby4K1aF_9o7uU0NxUx4Lmau-1g. Accessed 6 Dec. 2021.']"
7,0,fact_check,False, Snopes.com,https://www.snopes.com/fact-check/trump-christmas-card-2021/,"Did Trump Send This Phallic Christmas Card in 2021? 
The card with a picture of former U.S. President Donald Trump read: ""Merry Christmas From The Winter White House.""",2021-12-06,"Former U.S. President Donald Trump sent out a 2021 ""Winter White House"" Christmas card with phallic imagery and omitted a picture of his son Barron among photos of Trump family members.",[]
8,2,fact_check,Unproven, Snopes.com,https://www.snopes.com/fact-check/abortion-pills-protesters/,"Did Abortion Rights Protesters Take Abortion Pills Outside Supreme Court Building? 
Visual evidence surfaced supposedly showing four protesters outside the federal courthouse taking pills to end early pregnancies.",2021-12-02,"On Dec. 1, 2021, a group of abortion rights activists swallowed abortion pills near the U.S. Supreme Court Building to protest a court challenge that could reverse Roe vs. Wade.","['The Abortion Pill | Get the Facts About Medication Abortion. https://www.plannedparenthood.org/learn/abortion/the-abortion-pill. Accessed 2 Dec. 2021.', '‘Justices Signal They’ll OK New Abortion Limits, May Toss Roe’. AP NEWS, 1 Dec. 2021, https://apnews.com/article/abortion-donald-trump-us-supreme-court-health-amy-coney-barrett-a3b5cf9621315e6c623dc80a790842d8.']"
9,3,fact_check,Mostly False, Snopes.com,https://www.snopes.com/fact-check/biden-sincerely-fauci-president/,"Did Biden Say 'Sincerely' That Fauci Is President? 
Critics of President Biden seized upon some stray remarks at a news conference in December 2021.",2021-12-03,"In December 2021, U.S. President Joe Biden sincerely stated that Anthony Fauci, and not he, was the de facto president.","['“Biden Thanks Fauci and Jokes (?) That He’s the Real President: ‘I Sincerely Mean It.’” Mediaite, 2 Dec. 2021, https://www.mediaite.com/tv/biden-thanks-fauci-and-jokes-that-hes-the-real-president-i-sincerely-mean-it/.', '  Mechbunny.com. Joe Biden Officially Admits That Dr. Fauci Is Actually President “But All Kidding aside, I Sincerely Mean It.” https://vidmax.com/video/209168-joe-biden-officially-admits-that-dr-fauci-is-actually-president-but-all-kidding-aside-i-sincerely-mean-it. Accessed 3 Dec. 2021.', '  Spiering, Charlie. “Joe Biden: ‘Who’s President? Fauci.’” Breitbart, 2 Dec. 2021, https://www.breitbart.com/politics/2021/12/02/joe-biden-whos-president-fauci/.']"
10,3,fact_check,False, Snopes.com,https://www.snopes.com/fact-check/photo-biden-with-jeffrey-epstein/,"Does Photo Show Biden with Jeffrey Epstein? 
Epstein has been pictured with a number of high-profile politicians, but Joe Biden?",2021-12-03,A photograph shows U.S. President Joe Biden with convicted sex offender Jeffrey Epstein.,"['Freeman, Nate. “Wet Paint: Legendary Dealer Mary Boone Is Out of Prison Early, Jeffrey Epstein’s Little Black Book Is Full of Collectors, & More Art-World Gossip.” Artnet News, 4 June 2020, https://news.artnet.com/art-world/wet-paint-mary-boone-jail-1879428.', 'Landon Thomas Jr. “Jeffrey Epstein: International Moneyman of Mystery.” New York Magazine, 28 Oct. 2002, https://nymag.com/nymetro/news/people/n_7912/.', 'Moynihan, Colin. “Highlights From Day 4 of Ghislaine Maxwell’s Trial.” The New York Times, 2 Dec. 2021. NYTimes.com, https://www.nytimes.com/live/2021/12/02/nyregion/ghislaine-maxwell-trial.']"
